name,old_price,current_price,img_url
Nước Cam Ép,38.000đ,29.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqyc2k7o0y4ke5
Nước Ép Lựu,N/A,35.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr65k20kwq6x86
Nước Ép Dứa,35.000đ,29.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqyb323gh22sbe
Nước Ép Dưa Hấu,35.000đ,29.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3dhei2l70k9e
Nước Ép Ổi,35.000đ,29.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqycu1qryu8p82
Nước Ép Chanh Leo,35.000đ,29.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqyd28jilsck6f
Nước Ép Cóc,35.000đ,29.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3dhczytrx591
Nước Ép Cần Tây,N/A,35.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqyco9kglv4404
Nước Ép Táo,35.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3dhh1cvlxg5d
Nước Ép Lê,38.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3dhgmxgq102d
Nước Ép Cà Rốt,30.000đ,29.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3c9agqhlehf6
Nước Ép Cam Dứa,38.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqya1xhadcxwbf
Nước Ép Cóc Ổi,35.000đ,29.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqycw30mtgw4b3
Nước Ép Táo Dứa,38.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqyb3w6od32cbe
Nước Ép Cam Cà Rốt,38.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqya15z0mhzt66
Nước Ép Cóc Dứa,35.000đ,29.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqybqtesquh020
Nước Ép Dứa Cà Rốt,35.000đ,29.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqycuddqxq6c0b
Nước Ép Táo Lê,38.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqybqpcap8d53d
Nước Ép Ổi Dâu,38.000đ,29.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqycue1lyt211e
Nước Ép Cam Mix Việt Quất,38.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqz6t3dy2lqx42
Nước Ép Cam Táo,38.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3q110e89ll0c
Nước Ép Cam Lê,38.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3ql4580djt18
